Variable,Used
icon-clap,true
icon-hands,false
icon-applause,false
icon-confetti,false
icon-announcement,false
icon-quiz,false
icon-poll,false
icon-priority-messages,false
icon-communities,true
icon-administration,false
icon-dashboard-reports,false
icon-dashboard-admin,false
icon-insights1,false
icon-insights,true
icon-max,true
icon-sparkle,true
icon-menu,true
icon-snooze,true
icon-campaign_communications,false
icon-complete-communications,true
icon-campaigns-tasks,true
icon-correct-answer,true
icon-incorrect-answer,false
icon-embed,true
icon-edit-data,true
icon-viewers,true
icon-reach,true
icon-training,true
icon-training-catalog,false
icon-learnerzone,true
icon-home,true
icon-admin_home,false
icon-guided_learning,true
icon-path,true
icon-training-plan,true
icon-task,true
icon-todo,true
icon-intro,true
icon-light_bulb,true
icon-bulb,true
icon-discoveryzone,true
icon-achievements,true
icon-games,true
icon-gamepad,false
icon-GameChallengeLoss,false
icon-GameChallengeWon,false
icon-fire,true
icon-uniF2DC,true
icon-rewards,true
icon-events,true
icon-tellafriend,true
icon-profile,true
icon-user,true
icon-uniF2C0,false
icon-uniF2BE,true
icon-uniF2BD,false
icon-logout,true
icon-leaderzone,true
icon-usermetrics,true
icon-teammetrics,true
icon-impacts,true
icon-compare,true
icon-teammessage,true
icon-random,true
icon-groups,true
icon-group,true
icon-admin_zone,true
icon-content,true
icon-pencil,true
icon-programs,true
icon-reports,true
icon-compass,true
icon-support,false
icon-_433,false
icon-cog,true
icon-settings,true
icon-bolt,true
icon-bolt1,true
icon-very_sure,true
icon-somewhat_sure,false
icon-filter,true
icon-public-filters,false
icon-advanced-filter,true
icon-pop,true
icon-calendar,true
icon-calendar-outline,false
icon-calendar_empty,true
icon-calendar-check,true
icon-calendar-pending,false
icon-frequenttraining,true
icon-ParticipationFrequency10,false
icon-ParticipationFrequency15,false
icon-ParticipationFrequency20,false
icon-ParticipationFrequency25,false
icon-ParticipationFrequency30,false
icon-GameHighScore1,false
icon-GameHighScore2,false
icon-GameHighScore3,false
icon-CorrectAnswerStreak1,true
icon-CorrectAnswerStreak10,false
icon-CorrectAnswerStreak20,false
icon-CorrectAnswerStreak50,false
icon-CorrectAnswerStreak100,false
icon-CorrectAnswerStreak200,false
icon-CorrectAnswerStreak500,false
icon-CorrectAnswerStreak1000,false
icon-_388,false
icon-graduated,true
icon-TopicLevelGraduation1,true
icon-TopicLevelGraduationStreak1,false
icon-TopicLevelGraduationStreak2,false
icon-TopicLevelGraduationStreak3,false
icon-TopicLevelGraduationStreak5,false
icon-TopicLevelGraduationStreak10,false
icon-TopicLevelGraduationStreak15,false
icon-TopicLevelGraduationStreak20,false
icon-TopicLevelGraduationStreak30,false
icon-TopicLevelGraduationStreak50,false
icon-TopicLevelGraduationStreak75,false
icon-TopicLevelGraduationStreak100,false
icon-TopicLevelGraduationStreak150,false
icon-SessionStreak1,false
icon-SessionStreak10,false
icon-SessionStreak20,false
icon-SessionStreak50,false
icon-SessionStreak100,false
icon-SessionStreak200,false
icon-SessionStreak500,false
icon-SessionStreak1000,false
icon-unlink-item,true
icon-indent-link,true
icon-link-item,true
icon-unindent-link,true
icon-sliders,false
icon-_449,false
icon-not-started,true
icon-beginner,true
icon-adjust,false
icon-intermediate,true
icon-training_activity,true
icon-star-outline,true
icon-star-solid,true
icon-thumbtack-outline,true
icon-thumbtack,true
icon-pushpin,false
icon-pending,true
icon-time,true
icon-create-article-nobg,true
icon-create-article,true
icon-external_link,true
icon-create-link-nobg,true
icon-create-link,true
icon-create-dz,true
icon-broadcast,true
icon-bullhorn,true
icon-hub_activity,true
icon-question_summary,true
icon-contentexchange,false
icon-content-marketplace,false
icon-squiggle,true
icon-needsreview,true
icon-survey,true
icon-check,true
icon-ok,true
icon-ok_circle,true
icon-ok_sign,true
icon-checkbox-outline,true
icon-underconfident,true
icon-correct_observation,true
icon-due_certs,true
icon-warning_sign,true
icon-needs_coaching,true
icon-incorrect_observation,true
icon-exclamation,true
icon-exclamation_sign-outline,true
icon-exclamation_sign,true
icon-dashboard,true
icon-reportcard,true
icon-knowledge,true
icon-metrics,true
icon-_479,false
icon-bar_chart,false
icon-_480,false
icon-chart-area,false
icon-chart-line,true
icon-_529,false
icon-_530,false
icon-non_participants,true
icon-user_switch,true
icon-overdue_certs,true
icon-certifications,true
icon-extratraining,true
icon-news,true
icon-_460,false
icon-timeline,true
icon-refresher,true
icon-coffee,false
icon-trophy,true
icon-topperformers,true
icon-trophy-gold,true
icon-trophy-silver,false
icon-trophy-bronze,false
icon-team-trophy-gold,false
icon-team-trophy-silver,false
icon-team-trophy-bronze,false
icon-inspections,true
icon-zoom_in,false
icon-zoom_out,false
icon-search,true
icon-ban_circle,true
icon-envelope_alt,false
icon-envelope,false
icon-heart_empty,false
icon-heart,true
icon-pause,true
icon-play,true
icon-play_sign,true
icon-onboarding_topic,true
icon-microphone,false
icon-microphone_off,false
icon-film,true
icon-video,true
icon-camera,true
icon-camera_retro,false
icon-camera-plus,false
icon-picture,true
icon-image,true
icon-file_alt,true
icon-_550,false
icon-sitemap,true
icon-th_large,true
icon-th_list,true
icon-lock-forgot-password,false
icon-lock,true
icon-unlock_alt,false
icon-unlock,true
icon-key,false
icon-tag,false
icon-print,true
icon-map_marker,false
icon-add-above,true
icon-add-below,true
icon-plus,true
icon-plus_sign,true
icon-plus_square_o,true
icon-f0fe,false
icon-minus,true
icon-check_minus,true
icon-minus_sign_alt,false
icon-medium,true
icon-minus_sign,true
icon-remove,true
icon-remove_sign,false
icon-remove_circle,true
icon-overconfident,true
icon-question,true
icon-create-question-nobg,true
icon-question_sign,true
icon-create-question,true
icon-info_sign,true
icon-_279,false
icon-screenshot,false
icon-asterisk,true
icon-behaviors,true
icon-eye_open,true
icon-eye_close,true
icon-uniF2A8,false
icon-legal,true
icon-ticket,true
icon-slots,true
icon-shopping_cart,false
icon-thumbs_down_alt,true
icon-_334,false
icon-thumbs_up_alt,true
icon-upload,true
icon-upload_alt,true
icon-download,true
icon-download_alt,true
icon-downloads,false
icon-bookmark_empty,false
icon-bookmark,false
icon-paper_clip,true
icon-link,true
icon-unlink,true
icon-copy,true
icon-_553,false
icon-high,true
icon-low,true
icon-arrow_down,false
icon-arrow_left,true
icon-arrow_right,true
icon-caret_down,true
icon-caret_up,true
icon-caret_left,true
icon-caret_right,true
icon-angle_up,true
icon-angle_down,true
icon-angle_left,true
icon-angle_right,true
icon-chevron_up,true
icon-chevron_down,true
icon-chevron_left,true
icon-chevron_right,true
icon-double_angle_up,false
icon-double_angle_down,false
icon-double_angle_left,true
icon-double_angle_right,true
icon-move,true
icon-fullscreen,true
icon-resize_full,false
icon-resize_small,false
icon-resize_vertical,false
icon-resize_horizontal,false
icon-exchange,true
icon-undo,true
icon-reply,true
icon-refresh,true
icon-reinforcement,true
icon-share_alt,true
icon-retweet,true
icon-comment,true
icon-comment_alt,true
icon-comments,true
icon-comments_alt,false
icon-notification,false
icon-bell_alt,false
icon-bell,false
icon-file_text,true
icon-file_text_alt,true
icon-game_popularity,true
icon-desktop,false
icon-keyboard,false
icon-mobile_phone,false
icon-phone,false
icon-circle_blank,false
icon-_446,false
icon-circle,true
icon-dot_circle_alt,false
icon-bullseye,true
icon-archive,true
icon-category,true
icon-folder_close,true
icon-folder_close_alt,true
icon-folder_open,false
icon-folder_open_alt,false
icon-milestone,true
icon-reported,true
icon-flag,true
icon-flag_alt,false
icon-flag_checkered,true
icon-ellipsis_horizontal,true
icon-ellipsis_vertical,true
icon-trash,true
icon-_473,false
icon-_484,true
icon-_485,true
icon-shield,false
icon-sort_by_alphabet,true
icon-_329,false
icon-sort_by_attributes,true
icon-sort_by_attributes_alt,true
icon-sort_by_order,false
icon-sort_by_order_alt,false
icon-font,true
icon-bold,true
icon-italic,true
icon-underline,false
icon-strikethrough,false
icon-header,false
icon-text_height,false
icon-text_width,false
icon-list,true
icon-ul,false
icon-ol,true
icon-exam,true
icon-reorder,true
icon-table,false
icon-pdf,true
icon-spreadsheet,true
icon-slide,false
icon-doc,true
icon-file,true
icon-zip,true
icon-audio,true
icon-message-plus,true
icon-suggestquestion,false
icon-cogs,false
icon-_557,false
icon-_558,false
icon-switch_on,false
icon-switch_off,false
icon-facebook,false
icon-facebook-logo,false
icon-facebook_sign,false
icon-linkedin,false
icon-linkedin_sign,false
icon-google_plus,false
icon-googleplus-logo,false
icon-salesforce-logo,false
icon-zendesk-logo,false
icon-mostactive,false
icon-stats,false
icon-uniF1C0,false
icon-th,true
icon-male,true
icon-integration,true
icon-publish,true
icon-evaluations,false
icon-source-info,true
icon-translate,true
icon-send,true
icon-like-path1,false
icon-like-path2,false
icon-love-path1,false
icon-love-path2,false
icon-celebrate-path1,false
icon-celebrate-path2,false
icon-thinking-path1,false
icon-thinking-path2,false
icon-upset-path1,false
icon-upset-path2,false